cat,dist_acc_train,dist_acc_test,siam_acc_test
SES,0.5242656449553001,0.5305555555555556,0.6894444444444444
SES,0.5293742017879949,0.5224074074074074,0.6938888888888889
SES,0.5313811348294107,0.5162962962962963,0.6925925925925925
SES,0.5138660828316001,0.5311111111111111,0.6940740740740741
SES,0.5268199233716475,0.5242592592592593,0.7005555555555556
age,0.5407736101808439,0.5398606153323134,0.7525922148563658
age,0.5495646349631614,0.5441101478837328,0.7591364949855516
age,0.5403968519758875,0.542835288118307,0.7546319904810471
age,0.5444993302076356,0.5356960734319225,0.750212476627571
age,0.5413178164768921,0.5389257181710012,0.7520822709501955
disability,0.5546498703223416,0.5492604662822762,0.6996741037854098
disability,0.5602074842534271,0.5577839057407872,0.6926548007019303
disability,0.561813017166852,0.5605414890950113,0.6971672098270243
disability,0.5603309867852291,0.5607921784908498,0.7016796189521183
disability,0.5651475855255033,0.548257708698922,0.7041865129105039
disease,0.5367324561403509,0.5550611790878754,0.6813125695216907
disease,0.5515350877192983,0.5344827586206896,0.6746384872080089
disease,0.5476973684210527,0.5506117908787542,0.7007786429365962
disease,0.5364583333333334,0.5511679644048944,0.6991101223581757
disease,0.5556469298245614,0.5311457174638488,0.6757508342602893
educational_qualification,0.533958418263351,0.5439496772057606,0.7051812613805661
educational_qualification,0.536322869955157,0.5341830822711472,0.7195828505214369
educational_qualification,0.5323277619241745,0.5429564641615626,0.7068366164542295
educational_qualification,0.5369751324908275,0.5464327098162556,0.7139546432709816
educational_qualification,0.5459437423562984,0.5345141532858798,0.7013739447111406
ethnicity,0.5340889276373147,0.5302654867256638,0.6139823008849558
ethnicity,0.5318221447253705,0.5304424778761062,0.6327433628318584
ethnicity,0.5319093286835223,0.5309734513274337,0.6242477876106195
ethnicity,0.5317349607672188,0.5260176991150443,0.6219469026548673
ethnicity,0.529642545771578,0.539646017699115,0.6182300884955753
gender,0.5414781297134238,0.5413405920381082,0.7207383463763185
gender,0.539760348583878,0.5419360326641715,0.719760122490643
gender,0.5381892073068544,0.5392140183735965,0.7189094930248384
gender,0.5430283224400871,0.5375127594419871,0.7215039128955427
gender,0.5388176638176638,0.5386611092208234,0.7225246682545083
nationality,0.5286964532473515,0.5346955952492285,0.6393434957448798
nationality,0.5329571625978812,0.5323108575703731,0.6453287197231834
nationality,0.5276600644864118,0.5280557373982979,0.6437388946039465
nationality,0.5318056195301705,0.5234733002899092,0.636350883755728
nationality,0.5320359281437126,0.5361919012438043,0.6351351351351351
physical_appearance,0.5316848640548063,0.5317253368100826,0.7811820947414168
physical_appearance,0.5346285591950332,0.5198826597131682,0.7834637114298131
physical_appearance,0.5246199957182616,0.5244458930899609,0.7824858757062146
physical_appearance,0.5326482551916077,0.5216210343328987,0.7900912646675359
physical_appearance,0.5294904731320916,0.5355280312907431,0.7877009995654063
race,0.5255108855349272,0.536062906724512,0.69441431670282
race,0.5231067183117404,0.5356561822125814,0.699972885032538
race,0.52925070121544,0.521556399132321,0.6948210412147505
race,0.5343929477761453,0.521556399132321,0.6915672451193059
race,0.5317216508614933,0.5233188720173536,0.6979392624728851
region,0.5288845031043131,0.5274229902329076,0.6094832623758244
region,0.5274454175403972,0.5411970949161031,0.6034727439686117
region,0.5299124213642531,0.5276734284998748,0.6103180565990484
region,0.5333662267176514,0.5339343851740546,0.60689540028383
region,0.5393692693557008,0.5302612905918691,0.6142415894482011
religion,0.5533626840746926,0.5417565485362096,0.7389830508474576
religion,0.5501745863063611,0.561171032357473,0.7442218798151001
religion,0.5474419310763625,0.5352850539291217,0.7399075500770416
religion,0.5466828601791407,0.5439137134052389,0.7460708782742681
religion,0.5357522392591468,0.5368258859784284,0.7386748844375963
sexual_orientation,0.5278886401245985,0.5251926496739775,0.7275242047026279
sexual_orientation,0.5230215127032025,0.5255878284923928,0.7372060857538036
sexual_orientation,0.5249683636717609,0.5135348745307251,0.7324639399328196
sexual_orientation,0.5247736785749051,0.5253902390831852,0.7330567081604425
sexual_orientation,0.5259417891560401,0.5273661331752618,0.7314759928867812
